symbol,name,marketCap,exchange,sector,industry,yahooFinanceSymbol
SUPRAJIT,Suprajit Engineering Limited,473554,NSE,Consumer Cyclical,Auto Parts,SUPRAJIT.NS
VSTIND,VST Industries Limited,473326,NSE,Consumer Defensive,Tobacco,VSTIND.NS
TCNSBRANDS,TCNS Clothing Co. Limited,472138,NSE,Consumer Cyclical,Apparel Manufacturing,TCNSBRANDS.NS
JPPOWER,Jaiprakash Power Ventures Limited,466035,NSE,Utilities,Utilities—Independent Power Producers,JPPOWER.NS
ESABINDIA,Esab India Limited,465092,NSE,Industrials,Tools & Accessories,ESABINDIA.NS
TCI,Transport Corporation of India Limited,463272,NSE,Industrials,Integrated Freight & Logistics,TCI.NS
RALLIS,Rallis India Limited,462933,NSE,Basic Materials,Agricultural Inputs,RALLIS.NS
IBREALEST,Indiabulls Real Estate Limited,462502,NSE,Real Estate,Real Estate—Development,IBREALEST.NS
MHRIL,Mahindra Holidays & Resorts India Limited,460172,NSE,Consumer Cyclical,Resorts & Casinos,MHRIL.NS
KSB,Ksb Limited,459272,NSE,Industrials,Specialty Industrial Machinery,KSB.NS
RPOWER,Reliance Power Limited,459017,NSE,Utilities,Utilities—Renewable,RPOWER.NS
JSWHL,JSW Holdings Limited,455601,NSE,Industrials,Conglomerates,JSWHL.NS
PDSL,PDS Limited,455036,NSE,Industrials,Specialty Business Services,PDSL.NS
VIJAYA,Vijaya Diagnostic Centre Limited,446764,NSE,Healthcare,Diagnostics & Research,VIJAYA.NS
GREAVESCOT,Greaves Cotton Limited,442090,NSE,Industrials,Specialty Industrial Machinery,GREAVESCOT.NS
GLOBUSSPR,Globus Spirits Limited,441186,NSE,Consumer Defensive,Beverages—Wineries & Distilleries,GLOBUSSPR.NS
UFLEX,UFLEX Limited,439299,NSE,Consumer Cyclical,Packaging & Containers,UFLEX.NS
GREENLAM,Greenlam Industries Limited,438618,NSE,Consumer Cyclical,,GREENLAM.NS
MOIL,MOIL Limited,437514,NSE,Basic Materials,Other Industrial Metals & Mining,MOIL.NS
WELCORP,Welspun Corp Limited,436829,NSE,Basic Materials,Steel,WELCORP.NS
VRLLOG,VRL Logistics Limited,436682,NSE,Industrials,Trucking,VRLLOG.NS
NEOGEN,Neogen Chemicals Limited,435041,NSE,Basic Materials,Specialty Chemicals,NEOGEN.NS
FDC,FDC Limited,434011,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,FDC.NS
PCBL,PCBL LIMITED,431628,NSE,Basic Materials,Specialty Chemicals,PCBL.NS
HEIDELBERG,HeidelbergCement India Limited,429658,NSE,Basic Materials,Building Materials,HEIDELBERG.NS
